starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 13:11:52 2019	1553789512	1	4002	4003	2001
Thu Mar 28 13:12:42 2019	1553789562	0	4002	4003	2002
Thu Mar 28 13:11:56 2019	1553789516	0	4003	4003	2002
Thu Mar 28 13:10:00 2019	1553789400	1	4002	4003	2003
Thu Mar 28 13:10:36 2019	1553789436	0	4003	4003	2001
Thu Mar 28 13:10:48 2019	1553789448	0	4003	4003	2002
Thu Mar 28 13:12:30 2019	1553789550	0	4002	4003	2002
Thu Mar 28 13:12:08 2019	1553789528	1	4002	4003	2003
Thu Mar 28 13:10:36 2019	1553789436	1	4002	4003	2001
Thu Mar 28 13:10:44 2019	1553789444	0	4002	4003	2002
Thu Mar 28 13:13:56 2019	1553789636	1	4002	4003	2001
Thu Mar 28 13:14:20 2019	1553789660	0	4003	4003	2002
Thu Mar 28 13:11:20 2019	1553789480	0	4003	4003	2001
Thu Mar 28 13:10:40 2019	1553789440	1	4001	4003	1999
Thu Mar 28 13:13:50 2019	1553789630	0	4003	4003	2003
Thu Mar 28 13:11:54 2019	1553789514	0	4003	4003	2002
Thu Mar 28 13:13:22 2019	1553789602	1	4002	4003	2003
Thu Mar 28 13:10:14 2019	1553789414	0	4003	4003	2004
Thu Mar 28 13:10:54 2019	1553789454	0	4003	4003	2003
Thu Mar 28 13:12:12 2019	1553789532	0	4003	4003	2003
Thu Mar 28 13:13:52 2019	1553789632	0	4003	4003	2001
Thu Mar 28 13:12:16 2019	1553789536	0	4003	4003	2002
Thu Mar 28 13:10:26 2019	1553789426	0	4003	4003	2001
Thu Mar 28 13:12:14 2019	1553789534	0	4003	4003	2000
Thu Mar 28 13:14:20 2019	1553789660	0	4003	4003	2002
Thu Mar 28 13:13:26 2019	1553789606	0	4003	4003	2002
Thu Mar 28 13:10:28 2019	1553789428	0	4003	4003	2002
Thu Mar 28 13:13:12 2019	1553789592	0	4003	4003	2002
Thu Mar 28 13:11:54 2019	1553789514	0	4003	4003	2001
Thu Mar 28 13:13:20 2019	1553789600	1	4002	4003	2002
Thu Mar 28 13:13:54 2019	1553789634	0	4003	4003	2002
Thu Mar 28 13:10:32 2019	1553789432	0	4003	4003	2001
Thu Mar 28 13:11:48 2019	1553789508	0	4003	4003	2002
Thu Mar 28 13:11:02 2019	1553789462	0	4003	4003	2004
Thu Mar 28 13:12:18 2019	1553789538	0	4003	4003	2000
Thu Mar 28 13:13:36 2019	1553789616	0	4003	4003	2003
Thu Mar 28 13:14:00 2019	1553789640	1	4003	4003	2002
Thu Mar 28 13:11:18 2019	1553789478	1	4002	4003	2002
Thu Mar 28 13:11:00 2019	1553789460	0	4003	4003	1999
Thu Mar 28 13:14:10 2019	1553789650	1	4003	4003	2001
Thu Mar 28 13:14:08 2019	1553789648	0	4003	4003	2001
Thu Mar 28 13:14:38 2019	1553789678	0	4003	4003	2001
Thu Mar 28 13:12:38 2019	1553789558	0	4003	4003	2002
Thu Mar 28 13:12:04 2019	1553789524	0	4003	4003	2004
Thu Mar 28 13:11:28 2019	1553789488	0	4003	4003	2003
Thu Mar 28 13:11:10 2019	1553789470	0	4003	4003	2002
Thu Mar 28 13:14:18 2019	1553789658	0	4003	4003	2001
Thu Mar 28 13:14:14 2019	1553789654	0	4003	4003	2002
Thu Mar 28 13:10:24 2019	1553789424	0	4003	4003	2003
Thu Mar 28 13:14:06 2019	1553789646	0	4003	4004	2002
Thu Mar 28 13:10:42 2019	1553789442	0	4004	4004	2002
Thu Mar 28 13:12:54 2019	1553789574	0	4003	4004	2002
Thu Mar 28 13:11:06 2019	1553789466	0	4004	4004	2003
Thu Mar 28 13:11:26 2019	1553789486	0	4004	4004	2002
Thu Mar 28 13:10:06 2019	1553789406	0	4003	4004	2004
Thu Mar 28 13:11:38 2019	1553789498	0	4004	4004	2002
Thu Mar 28 13:12:20 2019	1553789540	0	4004	4004	2002
Thu Mar 28 13:14:22 2019	1553789662	0	4004	4004	2001
Thu Mar 28 13:11:50 2019	1553789510	0	4004	4004	2003
Thu Mar 28 13:14:30 2019	1553789670	0	4004	4004	2003
Thu Mar 28 13:14:12 2019	1553789652	0	4004	4004	2002
Thu Mar 28 13:12:36 2019	1553789556	0	4004	4004	2001
Thu Mar 28 13:12:58 2019	1553789578	0	4004	4004	2001
Thu Mar 28 13:10:18 2019	1553789418	0	4004	4004	2003
Thu Mar 28 13:12:42 2019	1553789562	0	4004	4004	2002
Thu Mar 28 13:12:02 2019	1553789522	0	4004	4004	2002
Thu Mar 28 13:12:10 2019	1553789530	0	4004	4004	2001
Thu Mar 28 13:14:26 2019	1553789666	0	4004	4004	2002
Thu Mar 28 13:10:04 2019	1553789404	0	4004	4004	2004
Thu Mar 28 13:13:06 2019	1553789586	0	4004	4004	2003
Thu Mar 28 13:14:26 2019	1553789666	1	4004	4004	2003
Thu Mar 28 13:11:50 2019	1553789510	0	4004	4004	2004
Thu Mar 28 13:13:24 2019	1553789604	2	4003	4005	2000
Thu Mar 28 13:11:48 2019	1553789508	0	4004	4005	2002
Thu Mar 28 13:14:22 2019	1553789662	1	4004	4005	2002
Thu Mar 28 13:14:06 2019	1553789646	0	4005	4005	2004
Thu Mar 28 13:13:52 2019	1553789632	1	4004	4005	2003
Thu Mar 28 13:10:16 2019	1553789416	2	4003	4005	2001
Thu Mar 28 13:10:04 2019	1553789404	0	4005	4005	2002
Thu Mar 28 13:12:44 2019	1553789564	1	4004	4005	2002
Thu Mar 28 13:10:22 2019	1553789422	0	4005	4005	2002
Thu Mar 28 13:14:28 2019	1553789668	1	4004	4005	2003
Thu Mar 28 13:13:50 2019	1553789630	1	4004	4005	2004
Thu Mar 28 13:11:04 2019	1553789464	0	4005	4005	2003
Thu Mar 28 13:09:56 2019	1553789396	1	4005	4005	2004
Thu Mar 28 13:14:12 2019	1553789652	0	4005	4005	2004
Thu Mar 28 13:12:58 2019	1553789578	0	4005	4006	2002
Thu Mar 28 13:13:48 2019	1553789628	1	4004	4006	2003
Thu Mar 28 13:09:56 2019	1553789396	1	4005	4006	2004
Thu Mar 28 13:13:46 2019	1553789626	0	4006	4006	2005
Thu Mar 28 13:14:24 2019	1553789664	0	4006	4006	2004
Thu Mar 28 13:09:58 2019	1553789398	0	4006	4006	2002
Thu Mar 28 13:14:28 2019	1553789668	0	4006	4006	2002
Thu Mar 28 13:09:56 2019	1553789396	1	4005	4006	2004
Thu Mar 28 13:13:26 2019	1553789606	0	4006	4006	2002
Thu Mar 28 13:13:00 2019	1553789580	0	4006	4006	2003
Thu Mar 28 13:13:46 2019	1553789626	0	4007	4007	2005
Thu Mar 28 13:13:48 2019	1553789628	0	4007	4007	2006
Thu Mar 28 13:10:06 2019	1553789406	0	4813	4813	2812
Thu Mar 28 13:10:00 2019	1553789400	0	4813	4813	2812
Thu Mar 28 13:09:58 2019	1553789398	1	4813	4814	2813
