starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 10:33:56 2019	1553780036	0	4009	4009	2008
Thu Mar 28 10:33:52 2019	1553780032	0	4010	4010	2010
Thu Mar 28 10:37:46 2019	1553780266	1	4010	4011	2010
Thu Mar 28 10:37:54 2019	1553780274	0	4011	4011	2010
Thu Mar 28 10:37:48 2019	1553780268	0	4011	4011	2010
Thu Mar 28 10:37:50 2019	1553780270	0	4011	4011	2011
Thu Mar 28 10:37:14 2019	1553780234	0	4011	4011	2011
Thu Mar 28 10:37:44 2019	1553780264	0	4011	4011	2011
Thu Mar 28 10:37:52 2019	1553780272	0	4011	4012	2011
Thu Mar 28 10:37:08 2019	1553780228	0	4012	4012	2012
Thu Mar 28 10:37:42 2019	1553780262	0	4012	4012	2010
Thu Mar 28 10:37:40 2019	1553780260	0	4012	4012	2012
Thu Mar 28 10:37:12 2019	1553780232	0	4012	4012	2012
Thu Mar 28 10:37:28 2019	1553780248	0	4012	4013	2012
Thu Mar 28 10:37:30 2019	1553780250	0	4012	4013	2012
Thu Mar 28 10:37:34 2019	1553780254	0	4013	4013	2013
Thu Mar 28 10:37:32 2019	1553780252	0	4013	4013	2012
Thu Mar 28 10:37:36 2019	1553780256	0	4013	4013	2012
Thu Mar 28 10:36:42 2019	1553780202	0	4204	4205	2203
Thu Mar 28 10:36:46 2019	1553780206	0	4205	4205	2205
Thu Mar 28 10:36:44 2019	1553780204	0	4205	4205	2203
Thu Mar 28 10:36:52 2019	1553780212	0	4206	4206	2205
Thu Mar 28 10:36:54 2019	1553780214	0	4207	4207	2206
Thu Mar 28 10:36:34 2019	1553780194	0	4207	4207	2207
Thu Mar 28 10:35:30 2019	1553780130	0	4208	4208	2207
Thu Mar 28 10:36:26 2019	1553780186	0	4208	4208	2207
Thu Mar 28 10:36:28 2019	1553780188	0	4208	4208	2207
Thu Mar 28 10:36:30 2019	1553780190	0	4209	4209	2208
Thu Mar 28 10:36:16 2019	1553780176	0	4209	4209	2209
Thu Mar 28 10:35:28 2019	1553780128	0	4209	4209	2208
Thu Mar 28 10:36:12 2019	1553780172	1	4209	4209	2207
Thu Mar 28 10:36:24 2019	1553780184	0	4209	4209	2210
Thu Mar 28 10:36:14 2019	1553780174	0	4209	4210	2209
Thu Mar 28 10:35:34 2019	1553780134	0	4209	4210	2209
Thu Mar 28 10:35:36 2019	1553780136	0	4210	4210	2209
Thu Mar 28 10:37:06 2019	1553780226	0	4210	4210	2209
Thu Mar 28 10:35:22 2019	1553780122	0	4210	4210	2209
Thu Mar 28 10:35:42 2019	1553780142	0	4210	4210	2210
Thu Mar 28 10:35:24 2019	1553780124	0	4210	4210	2209
Thu Mar 28 10:35:26 2019	1553780126	0	4210	4211	2211
Thu Mar 28 10:35:56 2019	1553780156	0	4210	4211	2209
Thu Mar 28 10:35:12 2019	1553780112	0	4211	4211	2211
Thu Mar 28 10:35:14 2019	1553780114	0	4212	4212	2212
Thu Mar 28 10:35:18 2019	1553780118	0	4212	4213	2212
Thu Mar 28 10:35:06 2019	1553780106	1	4213	4214	2213
Thu Mar 28 10:35:04 2019	1553780104	0	5791	5791	3791
Thu Mar 28 10:35:10 2019	1553780110	0	5793	5793	3792
Thu Mar 28 10:35:12 2019	1553780112	0	5793	5793	3793
Thu Mar 28 10:35:20 2019	1553780120	0	5795	5796	3795
Thu Mar 28 10:35:28 2019	1553780128	0	5796	5796	3794
Thu Mar 28 10:35:26 2019	1553780126	0	5796	5796	3797
Thu Mar 28 10:36:26 2019	1553780186	1	5796	5797	3794
Thu Mar 28 10:35:22 2019	1553780122	0	5797	5797	3795
Thu Mar 28 10:36:12 2019	1553780172	0	5797	5797	3798
Thu Mar 28 10:36:10 2019	1553780170	0	5797	5797	3795
Thu Mar 28 10:35:16 2019	1553780116	0	5797	5797	3796
Thu Mar 28 10:36:24 2019	1553780184	0	5797	5797	3797
Thu Mar 28 10:36:14 2019	1553780174	0	5797	5797	3797
Thu Mar 28 10:36:28 2019	1553780188	0	5797	5797	3796
Thu Mar 28 10:35:24 2019	1553780124	0	5798	5798	3796
Thu Mar 28 10:36:22 2019	1553780182	0	5798	5798	3797
Thu Mar 28 10:35:34 2019	1553780134	0	5798	5798	3797
Thu Mar 28 10:35:32 2019	1553780132	0	5798	5798	3796
Thu Mar 28 10:35:40 2019	1553780140	1	5798	5799	3796
Thu Mar 28 10:35:54 2019	1553780154	0	5799	5799	3796
Thu Mar 28 10:36:32 2019	1553780192	0	5801	5802	3800
Thu Mar 28 10:36:42 2019	1553780202	0	5802	5802	3800
Thu Mar 28 10:36:40 2019	1553780200	0	5802	5802	3802
Thu Mar 28 10:36:44 2019	1553780204	0	5802	5802	3804
Thu Mar 28 10:36:50 2019	1553780210	0	5803	5803	3801
Thu Mar 28 10:36:52 2019	1553780212	0	5803	5804	3803
Thu Mar 28 10:37:46 2019	1553780266	0	5993	5993	3992
Thu Mar 28 10:37:30 2019	1553780250	0	5993	5993	3992
Thu Mar 28 10:37:36 2019	1553780256	0	5993	5993	3993
Thu Mar 28 10:37:40 2019	1553780260	0	5993	5993	3992
Thu Mar 28 10:37:28 2019	1553780248	0	5993	5994	3994
Thu Mar 28 10:37:14 2019	1553780234	1	5993	5994	3992
Thu Mar 28 10:37:42 2019	1553780262	0	5994	5994	3993
Thu Mar 28 10:37:12 2019	1553780232	0	5994	5994	3993
Thu Mar 28 10:37:34 2019	1553780254	0	5994	5994	3993
Thu Mar 28 10:37:32 2019	1553780252	0	5994	5994	3993
Thu Mar 28 10:37:44 2019	1553780264	0	5994	5994	3993
