starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 01 09:46:00 2019	1554122760	0	5005	5005	5005
Mon Apr 01 09:46:45 2019	1554122805	0	5005	5005	5005
Mon Apr 01 09:45:42 2019	1554122742	0	5005	5005	5005
Mon Apr 01 09:45:26 2019	1554122726	0	5005	5005	5005
Mon Apr 01 09:45:55 2019	1554122755	0	5005	5005	5002
Mon Apr 01 09:44:55 2019	1554122695	0	5005	5006	5005
Mon Apr 01 09:45:36 2019	1554122736	0	5005	5006	5005
Mon Apr 01 09:45:31 2019	1554122731	0	5006	5006	5005
Mon Apr 01 09:45:20 2019	1554122720	1	5005	5006	5005
Mon Apr 01 09:46:36 2019	1554122796	0	5006	5006	5005
Mon Apr 01 09:44:55 2019	1554122695	0	5006	5006	5005
Mon Apr 01 09:44:55 2019	1554122695	0	5006	5006	5005
Mon Apr 01 09:46:44 2019	1554122804	0	5006	5006	5006
Mon Apr 01 09:45:50 2019	1554122750	0	5006	5006	5005
Mon Apr 01 09:45:20 2019	1554122720	1	5005	5006	5004
Mon Apr 01 09:46:49 2019	1554122809	0	5006	5006	5006
Mon Apr 01 09:45:05 2019	1554122705	0	5006	5006	5004
Mon Apr 01 09:44:55 2019	1554122695	0	5006	5006	5005
Mon Apr 01 09:44:50 2019	1554122690	0	5006	5006	5006
Mon Apr 01 09:44:50 2019	1554122690	0	5006	5006	5006
Mon Apr 01 09:44:50 2019	1554122690	0	5006	5006	5006
Mon Apr 01 09:46:45 2019	1554122805	0	5007	5007	5006
Mon Apr 01 09:46:40 2019	1554122800	0	5007	5007	5006
Mon Apr 01 09:46:45 2019	1554122805	0	5006	5007	5006
Mon Apr 01 09:46:40 2019	1554122800	0	5007	5007	5007
Mon Apr 01 09:44:50 2019	1554122690	1	5007	5007	5007
Mon Apr 01 09:46:10 2019	1554122770	0	5007	5007	5006
Mon Apr 01 09:46:40 2019	1554122800	0	5007	5007	5007
Mon Apr 01 09:46:46 2019	1554122806	0	5007	5008	5007
Mon Apr 01 09:46:47 2019	1554122807	0	5008	5008	5008
Mon Apr 01 09:46:10 2019	1554122770	0	5008	5008	5008
Mon Apr 01 09:45:58 2019	1554122758	1	5009	5010	5008
Mon Apr 01 09:51:13 2019	1554123073	0	6003	6003	6002
Mon Apr 01 09:51:13 2019	1554123073	1	6004	6005	6004
Mon Apr 01 09:51:22 2019	1554123082	0	6011	6011	6010
Mon Apr 01 09:51:12 2019	1554123072	0	6011	6011	6010
Mon Apr 01 09:47:46 2019	1554122866	1	6010	6011	6010
Mon Apr 01 09:47:11 2019	1554122831	0	6011	6011	6011
Mon Apr 01 09:47:46 2019	1554122866	1	6010	6011	6010
